RAJ2000,DEJ2000,_2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,Rflg,Bflg,Cflg,Xflg,Aflg
10.439434,89.977051,00414546+8958373,15.359999656677246,0.06800000369548798,14.871000289916992,0.10100000351667404,14.605999946594238,0.11400000005960464,AAB,222,111,000,0,0
23.510793,89.977364,01340259+8958385,16.475000381469727,0.17900000512599945,15.87399959564209,nan,16.139999389648438,nan,CUU,200,100,000,0,0
74.304832,89.979912,04571315+8958476,16.702999114990234,0.1379999965429306,17.575000762939453,nan,16.31800079345703,nan,BUU,200,100,000,0,0
78.158658,89.989044,05123807+8959205,15.71500015258789,0.07699999958276749,15.012999534606934,0.0989999994635582,14.67199993133545,0.09399999678134918,AAA,222,111,000,0,0
78.403255,89.985268,05133678+8959069,18.600000381469727,nan,16.479000091552734,nan,15.07800006866455,0.125,UUB,002,001,000,0,0
79.221887,89.972488,05165325+8958209,16.055999755859375,0.12700000405311584,15.654000282287598,0.2160000056028366,15.352999687194824,0.2160000056028366,BCC,222,111,000,0,0
86.793746,89.969536,05471049+8958103,16.780000686645508,0.14900000393390656,17.08099937438965,nan,15.470999717712402,nan,BUU,200,100,000,0,0
110.92212,89.983841,07234130+8959018,18.47100067138672,nan,15.569000244140625,0.14399999380111694,17.006000518798828,nan,UBU,020,010,000,0,0
180.216382,89.967781,12005193+8958040,16.804000854492188,0.1550000011920929,17.634000778198242,nan,17.163000106811523,nan,BUU,200,100,000,0,0
191.63972,89.974533,12463353+8958283,13.776000022888184,0.027000000700354576,13.210000038146973,0.03200000151991844,13.079999923706055,0.03500000014901161,AAA,222,111,000,0,0
197.450988,89.977242,13094823+8958380,16.365999221801758,0.14100000262260437,15.706999778747559,0.1979999989271164,15.20199966430664,0.1720000058412552,BCC,222,111,000,0,0
241.847897,89.990128,16072349+8959244,16.676000595092773,0.17599999904632568,15.911999702453613,0.18700000643730164,15.526000022888184,0.21299999952316284,CCC,222,111,000,0,0
260.073455,89.968155,17201762+8958053,16.277000427246094,0.12399999797344208,15.770999908447266,0.17599999904632568,15.16100025177002,0.1599999964237213,BCC,222,111,000,0,0
304.956115,89.967041,20194946+8958013,16.56800079345703,0.14900000393390656,15.984999656677246,nan,16.42099952697754,nan,BUU,200,100,000,0,0
316.795845,89.982071,21071100+8958554,16.44499969482422,0.14300000667572021,15.819999694824219,0.1770000010728836,15.248000144958496,0.19099999964237213,BCC,222,111,000,0,0
321.653808,89.967438,21263691+8958027,18.516000747680664,nan,15.404999732971191,0.1420000046491623,17.027999877929688,nan,UBU,020,010,000,0,0
342.747968,89.973076,22505951+8958230,15.305999755859375,0.04800000041723251,14.593999862670898,0.08900000154972076,14.335000038146973,0.08699999749660492,AAA,222,111,000,0,0
347.869091,89.977455,23112858+8958388,18.39299964904785,nan,15.739999771118164,0.15399999916553497,17.090999603271484,nan,UBU,020,010,000,0,0
